dataset,model,oversampling,mean_acc_cv,std_acc_cv,best_acc,train_full_acc_score,test_acc_score,auc_score,cv_scores
Manual,Bagging KNN,True,0.9889930263653032,0.0016775674018732155,0.9889930263653032,0.9916497975708503,0.9826041117554033,0.9379389569635386,[0.9886148  0.99114485 0.98924731 0.98608476 0.98987342]
Manual,Bagging SVM,True,0.9883601950375903,0.0021771731946934837,0.9883601950375903,0.9884868421052632,0.9836584080126516,0.9350445272859066,[0.98734978 0.99240987 0.9886148  0.98608476 0.98734177]
Manual,Bagging MLP,True,0.9878540260530508,0.0018522561487845609,0.9878540260530508,0.9878542510121457,0.9826041117554033,0.9313232701687301,[0.98671727 0.99114485 0.9886148  0.98671727 0.98607595]
Manual,Boosting DTREE,True,0.9892462709869573,0.00296585285157122,0.9892462709869573,0.999746963562753,0.9762783342119136,0.9295289342018315,[0.98418722 0.99240987 0.98987982 0.98798229 0.99177215]
Manual,Boosting SVM,True,0.5969621854458402,0.19455688196062418,0.5969621854458402,0.9877277327935222,0.9826041117554033,0.9313232701687301,[0.49968374 0.49968374 0.49968374 0.49968374 0.98607595]
Manual,Stacking SVM,True,0.9887397817436488,0.0023806119582790806,0.9887397817436488,0.9913967611336032,0.9826041117554033,0.9365569872314284,[0.98608476 0.99304238 0.98924731 0.98734978 0.98797468]
PCA,Decision Tree,True,0.9911442045172499,0.0023656127241300892,0.9911442045172499,1.0,0.9562467053241961,0.8911335968666574,[0.9886148  0.99177736 0.99177736 0.9886148  0.99493671]
PCA,KNN,True,0.9969633063515321,0.0017627080471678245,0.9969633063515321,1.0,0.9657353716394307,0.8923246526974727,[1.         0.99683744 0.99746996 0.99557242 0.99493671]
PCA,LVQ,True,0.9811484479459404,0.003655247810842618,0.9811484479459404,0.9802631578947368,0.959409594095941,0.8674767140556061,[0.98545225 0.97975965 0.97659709 0.98545225 0.97848101]
PCA,SVM,True,0.9935475864498514,0.0010119188914663845,0.9935475864498514,0.9951923076923077,0.9035318924617818,0.7582348270667765,[0.99177736 0.99367489 0.99493991 0.99367489 0.99367089]
PCA,MLP,True,0.9934213244301395,0.0032886912791760515,0.9934213244301395,0.9955718623481782,0.9715340010542962,0.9197194065428704,[0.99304238 0.99683744 0.9943074  0.98734978 0.99556962]
PCA,Random Forest,True,0.9935475864498514,0.0020939364752856353,0.9935475864498514,0.9996204453441295,0.9736425935687928,0.9222589386942455,[0.98987982 0.99557242 0.99557242 0.99304238 0.99367089]
PCA,Bagging LVQ,True,0.9783647587250499,0.002873790202770726,0.9783647587250499,0.9782388663967612,0.959409594095941,0.8662751298847979,[0.97912713 0.98165718 0.9772296  0.98039216 0.97341772]
PCA,Bagging KNN,True,0.9968368041377433,0.0017444100336226297,0.9968368041377433,0.9994939271255061,0.9630996309963099,0.8839946802872848,[1.         0.99683744 0.99683744 0.99557242 0.99493671]
PCA,Bagging SVM,True,0.9896254573695547,0.001475609255827344,0.9896254573695547,0.9902580971659919,0.9604638903531892,0.8690688266622131,[0.98924731 0.99240987 0.98924731 0.98798229 0.98924051]
PCA,Bagging MLP,True,0.9881072706747052,0.0012902272605950947,0.9881072706747052,0.9891194331983806,0.9683711122825513,0.8940963669567727,[0.98671727 0.98987982 0.98924731 0.98671727 0.98797468]
PCA,Boosting DTREE,True,0.9963310354766651,0.0017618571635443195,0.9963310354766651,1.0,0.9746968898260411,0.9370675521304993,[0.99367489 0.99810247 0.99810247 0.99493991 0.99683544]
PCA,Boosting SVM,True,0.6288365799566049,0.1622014836639238,0.6288365799566049,0.9612854251012146,0.9715340010542962,0.9170132455825014,[0.54522454 0.54395952 0.54775459 0.5540797  0.95316456]
PCA,Stacking SVM,True,0.9969633063515321,0.0017627080471678245,0.9969633063515321,1.0,0.9683711122825513,0.901017613856513,[1.         0.99683744 0.99746996 0.99557242 0.99493671]
